lat,lng,Place,Country,Language,Year,Translator,Title,Publisher,Img,Address,Comments
37.9684178304,23.7265418469,Athens,Greece,Greek,1949,Ninila Papagiannē,Jane Eyre: A Novel,Ikaros,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1949_%20Papagiannē.jpg,Athens. Greece,
37.9832656979,23.7368643075,Athens,Greece,Greek,1950,Polyvios Vovolinēs,Jane Eyre,D. Daremas,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1950_Vovolines.jpg,Ιπποκράτους 42 10680 Athens. Greece,Date is approximate.
37.9702283212,23.721935917,Athens,Greece,Greek,1954,Sotiris Patatzē,Jane Eyre,Parthenōn,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1954_Patatzē.jpg,Athens. Greece,
37.9753376878,23.7188993209,Athens,Greece,Greek,1955,George Tarsatopoulou,Jane Eyre: The Tower of Pain,Romantso,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1955_Tarsatopoulou.JPG,Athens. Greece,
38.0581325209,23.7532251624,Athens,Greece,Greek,1963,Georgia Deligiannē-Anastasiadē,Jane Eyre,Minoas,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1963_%20Deligiannē-Anastasiadē.JPG,Κορίνθου 34 & Δαβάκη 144 51 Μεταμόρφωση [Korinthou 34. 144 51 Metamorfosi. Athens. Greece,Juvenile Edition
37.9845904921,23.7361827693,Athens,Greece,Greek,1968,Eletherias Siola,Jane Eyre,Aylos,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1968_Siola.JPG,Χαρ. Τρικουπη 45. 10681. Αθηνα [Char. Trikoupi 45. 106 81 Athens. Greece],Bound together with translations of the Abbé Prévost's Manon Lescaut and William Faulkner's Light in August.
38.0398864305,23.7334999408,Athens,Greece,Greek,1969,Pipina Tsimikalē,Jane Eyre,Ankyra,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1969_Tsimikale.jpg,Λ. Κατσώνη 271 & Γ. Παπανδρέου 135 62 Αγ. Ανάργυροι [Lamprou Katsoni 271. Agii Anargiri 135 62. Greece],Juvenile Edition
40.6311089185,22.9518965519,Thessaloniki,Greece,Greek,1979,Thanasis Georgiadēs,Jane Eyre,Rekos,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1979_Georgiadēs.jpg,13 Ωραιοκάστρου Θεσσαλονίκης [Oreokastro 570 13. Thessaloniki. Greece],Date is approximate.
37.9906235259,23.7290045957,Athens,Greece,Greek,1981,Dora Kominē-Dialetē ,Jane Eyre,ASTĒR-Papadēē,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1981_Kominē-Dialetē.jpg,Αλίτσης 4. Αθήνα 10433 [Alitsis 4. 104 33 Athens. Greece],Juvenile Edition
38.0329206767,23.7473782463,Athens,Greece,Greek,1990,George Tarsatopoulou,Jane Eyre,Pella,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1990_Tarsatopoulou.jpg,Φωκαίας 5. Περισσός. 142 32 Νέα Ιωνία Αττικής [Fokeas 5. Nea Ionia 142 32. Athens. Greece],Tarsatopoulou's translation was first published in 1955. 
38.0468103907,23.8366920641,Athens,Greece,Greek,1990,Vasilis Liaskas,Jane Eyre,Damianos,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1990_Liaskas.jpg,Δουκίσσης Πλακεντίας 31 115 27 Μελίσσια [Doukissis Plakentias 31. Melissia 151 27. Greece],
37.9781940029,23.7233065134,Athens,Greece,Greek,1991,Polly Moschopoulou,Jane Eyre,Kaktos,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1991_Moschopoulou.jpg,Athens. Greece,
38.0581325209,23.7532251624,Athens,Greece,Greek,1992,Georgia Deligiannē-Anastasiadē,Jane Eyre,Minoas,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1992_Deligiannē-Anastasiadē.jpg,Κορίνθου 34 & Δαβάκη 144 51 Μεταμόρφωση [Korinthou 34. 144 51 Metamorfosi. Athens. Greece,Deligiannē-Anastasiadē's translation was first published in 1963
37.9769362509,23.7339290406,Athens,Greece,Greek,1993,Ninila Papagiannē,Jane Eyre,Zacharopoulos S.I,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1993_Papagiannē.jpg,Σταδίου 5 [Stadiou 5. 105 62 Athens. Greece],Papagiannē's translation was first published in 1949.
37.9775681953,23.7278174333,Athens,Greece,Greek,1997,Dimitras Kikizas,Jane Eyre,Smilē,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1997_Kikizas.jpg,Athens. Greece,
37.9809816267,23.7205277869,Athens,Greece,Greek,1998,Marilena Alevizou,Jane Eyre,Patakē,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1998_Alevizou.jpg,Athens. Greece,Juvenile Edition
38.0380407023,23.8184093449,Athens,Greece,Greek,1999,Sophia Tsiledakē,Jane Eyre,Modern Times,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/1999_Tsiledakē.jpg,Athens. Greece,
37.9870324474,23.7400280405,Athens,Greece,Greek,2001,Yiannis Karouzos,Jane Eyre,Aposperitis,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/2001_Karouzos.jpg,Ζωοδ. Πηγής 95-97. 11472. Αθήνα. Αττικής [Zoodochou Pigis 95. 114 73 Athens. Greece],
37.9768580131,23.7514445927,Athens,Greece,Greek,2002,Georgia Deligiannē-Anastasiadē,Jane Eyre,DeAgostini Hellas,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/2002_Anastasiadē-Deligiannē.jpg,Athens. Greece,Juvenile Edition; Deligiannē-Anastasiadē's translation was first published in 1963 and re-issued in 1992. 
37.9858576349,23.7382958444,Athens,Greece,Greek,2011,Beatrice Kantzola-Zambatakou,Jane Eyre,Savvalas,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/2011_Kantzola-Zambatakou.jpg,Athens. Greece,
38.0244588149,23.8378514741,Athens,Greece,Greek,2011,Maria Exarchou,Jane Eyre,Tessera Pi,https://raw.githubusercontent.com/digitalkoine/greek_storymap/main/greek/2011_Exarchou.jpg,Athens. Greece,Juvenile Edition
